Date,Open,High,Low,Close,Adj Close,Volume,QCOM,Xintec,GUC,AAPL,MTK,TSMC,GOOG,AVGO,MSFT,VIX,TWindex,NASDQ,CSCO,INTC,UMC,FOXCONN,DELTA,TWD,USD,KRW,JPY,CHT,SAMSUNG,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv
2010-02-10,51.950001,52.25,51.700001,52.099998,52.099998,11219.0,37.43,28.429148,142.0,6.968571,507.84314,58.400002,13.311356,16.799999,27.99,25.4,7441.839844,2147.870117,23.76,19.690001,16.25,87.183884,95.315956,32.060001,1.17125,1158.400024,89.93,74.125,15100.0,3161497580.0,2968407011.0,193090569.0,3102476560.0,1648311871.0,1454164689.0,15513803410.0,25495641620.0,-9981838210.0,0.01066923396060589,0.010612719307277807,51.94324098162403,52.70859532124935,53.26362774841441,-0.7653543396253184,-1.320386766790378,0.764286142857143,0.9035719285714288,0.8380960952380955,53.32476505170186,50.218089805441,54.86234081482654,50.3233733280306,58.68400939677385,49.40170507941664,67.49989999999997,36.98622630891707,19.148910517575953
2010-02-22,53.049999,53.150002,52.599998,52.599998,52.599998,11187.0,39.009998,28.429148,141.0,7.157857,518.627441,59.0,13.519326,17.35,28.73,19.940001,7560.040039,2242.030029,24.299999,20.870001,16.6,87.183884,95.415665,32.0,1.3075,1147.900024,91.235001,74.5,15460.0,3133892869.0,2444166818.0,689726051.0,2130761100.0,1359109401.0,771651699.0,28467489316.0,25036187231.0,3431302085.0,0.009596929351129725,0.009551171349245102,52.10746934054282,52.69388374142605,53.19923872534946,-0.5864144008832284,-1.0917693848066392,0.6500005714285716,0.8821434285714288,0.8428581428571432,53.5557276767452,50.201412894683365,54.48282687936423,50.44574383492148,58.35377594712674,49.33670024334945,92.49989999999997,53.62311489185073,26.241110105121994
2010-02-23,52.599998,52.75,52.200001,52.599998,52.599998,9571.0,38.540001,28.429148,143.5,7.037857,523.529419,59.799999,13.326798,17.379999,28.33,21.370001,7597.439941,2213.439941,24.049999,20.389999,16.299999,87.183884,94.219223,32.060001,1.243333,1156.199951,90.160004,75.0,15340.0,2000150200.0,2287498353.0,-287348153.0,2263043520.0,2650742656.0,-387699136.0,24222177202.0,23608596621.0,613580581.0,0.0,0.0,52.23062349853406,52.6811922317934,53.14145053837907,-0.4505687332593453,-0.9108270398450102,0.6214290000000001,0.8750003571428573,0.8309533809523812,53.48546146263614,50.228821394506724,54.109807844719974,50.590191012422885,57.83496690674567,49.393604236111464,100.0,56.060562442594666,26.241110105121994
2010-02-24,52.150002,52.549999,52.150002,52.25,52.25,11026.0,37.869999,28.429148,146.5,7.166429,517.647034,58.5,13.237134,17.74,28.629999,20.27,7529.669922,2235.899902,24.34,20.700001,15.95,85.887466,93.521309,32.02,1.285,1158.599976,90.278999,74.25,15040.0,2043898760.0,1998239251.0,45659509.0,2258613250.0,1775532693.0,483080557.0,20276385689.0,25468455332.0,-5192069643.0,-0.006653954625625639,-0.006676190875928967,52.23546827279298,52.623010967820484,53.05595539586099,-0.3875426950275056,-0.8204871230680126,0.6071428571428571,0.7750002142857143,0.821429285714286,53.371754254008565,50.2568146031343,54.02582190796643,50.57417680631927,57.14328470029312,49.556715109230694,81.08116873639865,45.45455922865432,22.22222222222222
2010-02-25,52.25,52.299999,51.349998,51.650002,51.650002,20361.0,37.18,28.429148,143.0,7.214286,497.058838,58.200001,13.111604,18.09,28.6,20.1,7426.959961,2234.219971,24.33,20.629999,15.5,82.970535,93.92012,32.040001,1.27375,1161.099976,89.269997,74.125,14720.0,1728179056.0,3572176638.0,-1843997582.0,1801497370.0,2286138110.0,-484640740.0,22592376905.0,31438203724.0,-8845826819.0,-0.011483215311004772,-0.011549656557105159,52.08908700024082,52.49193118976688,52.921786903514125,-0.40284418952605705,-0.8326999032733013,0.6285717142857143,0.8000004285714287,0.8476197142857145,53.21227620917558,50.6734360765387,53.932152446258044,50.48927483945626,56.41755761983369,49.72529952302345,45.71451428571436,27.272796143271584,15.000033333333343
2010-02-26,51.650002,51.75,51.200001,51.549999,51.549999,9375.0,36.68,28.429148,141.5,7.307857,495.098053,58.799999,13.12082,18.15,28.67,19.5,7436.100098,2238.26001,24.33,20.530001,15.45,82.322327,93.222198,31.98,1.27125,1161.400024,88.920998,74.75,14880.0,1756674833.0,1747134390.0,9540443.0,1924798840.0,2214147572.0,-289348732.0,18290830459.0,19784881500.0,-1494051041.0,-0.001936166430351754,-0.0019380432234887834,51.95430484578485,52.365213143861865,52.791467793061265,-0.41090829807701823,-0.8371629472764184,0.6357144285714286,0.7607144285714286,0.8166672380952382,52.97635814125339,51.10935443017518,53.417564914889695,50.64671951368173,55.772644455831106,49.87497449654985,0.0,35.5555111111111,14.159269324152444
2010-03-02,52.75,53.099998,52.549999,52.650002,52.650002,9987.0,37.93,28.429148,143.0,7.458929,505.882355,59.900002,13.475989,18.719999,28.459999,19.059999,7597.620117,2280.790039,24.610001,20.700001,15.75,86.211571,95.914177,31.969999,1.32375,1142.099976,88.739998,76.875,15400.0,2819078867.0,2172144054.0,646934813.0,3550348860.0,2316570567.0,1233778293.0,21141209576.0,17047409473.0,4093800103.0,0.02133856491442417,0.021114085502361934,52.1282389623971,52.40347997207097,52.7780833663215,-0.27524100967387,-0.6498444039244049,0.585714,0.7250001428571429,0.8023813333333335,53.11651401940369,51.28348512345345,53.3284807595351,50.68580395475061,55.096749903598806,50.1937261916393,100.0,95.00010000000003,36.53849297336675
2010-03-03,52.700001,53.099998,52.5,52.650002,52.650002,8747.0,38.689999,28.429148,141.0,7.476071,514.705872,60.0,13.582091,18.91,28.459999,18.83,7629.52002,2280.679932,24.84,20.52,15.9,86.535675,95.714767,31.93,1.3025,1143.199951,88.57,76.25,15420.0,2211044669.0,1692801093.0,518243576.0,3200803160.0,2906248376.0,294554784.0,15730828669.0,12403435399.0,3327393270.0,0.0,0.0,52.258685249898484,52.436570645314156,52.76600998531675,-0.1778853954156716,-0.5073247354182655,0.5928567142857142,0.6785714285714286,0.8000001904761905,53.24786170933524,51.3092814335219,53.37564092597085,50.67435807402915,54.41732022806262,50.55887024812786,100.0,95.00010000000003,52.05482079187903
2010-03-04,52.75,52.900002,51.799999,52.200001,52.200001,8138.0,39.25,28.429148,142.0,7.525357,503.92157,59.200001,13.812976,19.059999,28.629999,18.719999,7569.799805,2292.310059,24.950001,20.530001,15.8,86.535675,97.509422,31.92,1.30375,1143.5,89.160004,75.75,15220.0,2247034172.0,2965663790.0,-718629618.0,3482705180.0,2761080945.0,721624235.0,15981851954.0,20023843169.0,-4041991215.0,-0.00854702721568748,-0.008583762521007454,52.24401372110729,52.40484433194084,52.712834437415516,-0.16083061083355688,-0.46882071630822963,0.6714279999999998,0.6607142857142857,0.8119049523809524,53.14853454602474,51.29432373968954,53.39964407770231,50.70035535086911,54.104186546941385,50.66248002448719,59.09092975200977,72.50005000000002,42.029002310434116
2010-03-05,52.849998,53.200001,52.5,52.950001,52.950001,13596.0,38.759998,28.429148,142.5,7.819643,499.019592,60.400002,14.052577,19.360001,28.59,17.42,7666.259766,2326.350098,25.209999,20.790001,16.1,86.859779,96.412689,31.84,1.33375,1137.800049,90.220001,75.875,15500.0,2853449163.0,2131475173.0,721973990.0,2638308490.0,2280762663.0,357545827.0,24048795033.0,13154620805.0,10894174228.0,0.014367815816708509,0.01426557688747554,52.42051474823221,52.47789847064333,52.73504830725935,-0.05738372241112444,-0.3145335590271401,0.692856857142857,0.6571429285714286,0.8142858571428572,53.32318648703682,51.219672655820304,53.44960961568732,50.67896138431267,53.85698302708161,50.79063592529934,100.0,100.0,66.66671717173249
